Time:2019-09-29 21:00:01,649; FileName:myLogs.py;-> FuncName:printLog;  LineNo.:84; LevelNo.:20;--->LevelName:INFO;----->LogMessage:获取的表格内容：{1: ['1', '特大型餐馆', '1', ''], 2: ['编号20190927205602', '名称20190927205602', '1', ''], 3: ['编号20190926205402', '名称20190926205402', '1', ''], 4: ['编号20190928211137', '名称20190928211137', '1', ''], 5: ['2', '快餐店', '2', ''], 6: ['3', '小吃店', '3', ''], 7: ['4', '饮品店、饮品店（甜品店）', '4', ''], 8: ['5', '食堂', '5', ''], 9: ['6', '集体用餐配送单位', '6', ''], 10: ['7', '中央厨房', '7', ''], 11: ['8', '夜市餐饮服务', '8', ''], 12: ['9', '乡村民俗旅游户', '9', ''], 13: ['编号20190929205951', '名称20190929205951', '1', '']} 
Time:2019-09-29 21:00:01,651; FileName:myLogs.py;-> FuncName:printLog;  LineNo.:84; LevelNo.:20;--->LevelName:INFO;----->LogMessage:编号20190929205951 in {1: ['1', '特大型餐馆', '1', ''], 2: ['编号20190927205602', '名称20190927205602', '1', ''], 3: ['编号20190926205402', '名称20190926205402', '1', ''], 4: ['编号20190928211137', '名称20190928211137', '1', ''], 5: ['2', '快餐店', '2', ''], 6: ['3', '小吃店', '3', ''], 7: ['4', '饮品店、饮品店（甜品店）', '4', ''], 8: ['5', '食堂', '5', ''], 9: ['6', '集体用餐配送单位', '6', ''], 10: ['7', '中央厨房', '7', ''], 11: ['8', '夜市餐饮服务', '8', ''], 12: ['9', '乡村民俗旅游户', '9', ''], 13: ['编号20190929205951', '名称20190929205951', '1', '']} 
Time:2019-09-29 21:00:01,684; FileName:myLogs.py;-> FuncName:printLog;  LineNo.:84; LevelNo.:20;--->LevelName:INFO;----->LogMessage:找到xpath为【/html/body/div/div/div/div[2]/div/div[1]/div[2]/div[2]/div[1]/div[2]/div[2]/div/div[3]/table/tbody】的元素 
Time:2019-09-29 21:00:01,714; FileName:myLogs.py;-> FuncName:printLog;  LineNo.:84; LevelNo.:20;--->LevelName:INFO;----->LogMessage:调用截取图片函数 
Time:2019-09-29 21:00:01,716; FileName:myLogs.py;-> FuncName:printLog;  LineNo.:84; LevelNo.:20;--->LevelName:INFO;----->LogMessage:当前时间：2019-09-29 21:00:01.715366 
Time:2019-09-29 21:00:01,717; FileName:myLogs.py;-> FuncName:printLog;  LineNo.:84; LevelNo.:20;--->LevelName:INFO;----->LogMessage:时间串：20190929210001 
Time:2019-09-29 21:00:01,992; FileName:myLogs.py;-> FuncName:printLog;  LineNo.:84; LevelNo.:20;--->LevelName:INFO;----->LogMessage:当前时间：2019-09-29 21:00:01.991414 
Time:2019-09-29 21:00:01,993; FileName:myLogs.py;-> FuncName:printLog;  LineNo.:84; LevelNo.:20;--->LevelName:INFO;----->LogMessage:时间串：20190929210001 
Time:2019-09-29 21:00:02,059; FileName:myLogs.py;-> FuncName:printLog;  LineNo.:84; LevelNo.:20;--->LevelName:INFO;----->LogMessage:获取到的元素的截图路径为：/root/PycharmProjects/wanwenyc/WWTest/imagefile/ele/00058_20190929210001_ele.png 
Time:2019-09-29 21:00:05,033; FileName:myLogs.py;-> FuncName:printLog;  LineNo.:84; LevelNo.:20;--->LevelName:INFO;----->LogMessage:获取的表格内容：{1: ['1', '特大型餐馆', '1', ''], 2: ['编号20190927205602', '名称20190927205602', '1', ''], 3: ['编号20190926205402', '名称20190926205402', '1', ''], 4: ['编号20190928211137', '名称20190928211137', '1', ''], 5: ['2', '快餐店', '2', ''], 6: ['3', '小吃店', '3', ''], 7: ['4', '饮品店、饮品店（甜品店）', '4', ''], 8: ['5', '食堂', '5', ''], 9: ['6', '集体用餐配送单位', '6', ''], 10: ['7', '中央厨房', '7', ''], 11: ['8', '夜市餐饮服务', '8', ''], 12: ['9', '乡村民俗旅游户', '9', ''], 13: ['编号20190929205951', '名称20190929205951', '1', '']} 
Time:2019-09-29 21:00:05,035; FileName:myLogs.py;-> FuncName:printLog;  LineNo.:84; LevelNo.:20;--->LevelName:INFO;----->LogMessage:名称20190929205951 in {1: ['1', '特大型餐馆', '1', ''], 2: ['编号20190927205602', '名称20190927205602', '1', ''], 3: ['编号20190926205402', '名称20190926205402', '1', ''], 4: ['编号20190928211137', '名称20190928211137', '1', ''], 5: ['2', '快餐店', '2', ''], 6: ['3', '小吃店', '3', ''], 7: ['4', '饮品店、饮品店（甜品店）', '4', ''], 8: ['5', '食堂', '5', ''], 9: ['6', '集体用餐配送单位', '6', ''], 10: ['7', '中央厨房', '7', ''], 11: ['8', '夜市餐饮服务', '8', ''], 12: ['9', '乡村民俗旅游户', '9', ''], 13: ['编号20190929205951', '名称20190929205951', '1', '']} 
